Timestamp,Are you currently or have you ever been a dues-paying member of Chicago DSA or another chapter of DSA?,"How long have you been/were you a dues-paying member of Chicago DSA? 

Please approximate to the best of your ability or look up the exact date you joined DSA by following this link: https://proof.dsausa.org/card. 

If you have never been a dues-paying member of Chicago DSA, scroll to the bottom of the page and click ""Next"".","What territory branch do you belong to?

You can look up your territory branch by scrolling to the map on the bottom of this page: https://chicagodsa.org/chicago-dsa-territorial-branches/.","Have you been to any Chicago DSA events? 

If you have never been to a Chicago DSA event, select ""No"" below, then scroll to the bottom of the page and click ""Next"".","How many Chicago DSA events have you attended in the last 12 months?

Please estimate to the best of your ability.","When was the first event you attended?

Please estimate to the best of your ability.",What was the first Chicago DSA event you attended?,"Which of the following Chicago DSA activities have you participated in?

Please select all that apply.",How long was the period between your first Chicago DSA event and your second Chicago DSA event?,"Did you have one-on-one interactions, beyond the specific objectives of the meeting or activity, with anyone from the following groups before, during, or after your first meeting?

This question asks about deeper, more personal interactions that occurred beyond the stated purpose of the meeting or activity (i.e., interactions that took place outside of a political discussion, outside of addressing agenda items, etc.).","Were you contacted by anyone in the organization (by phone, text, or email) after you attended your first event?","During or after your first couple of events, were you assigned a specific task/action (e.g., tabling, making calls, specific reading) or explicitly invited to another Chicago DSA event?","Have you been involved in any of the following leadership activities within Chicago DSA? 

Select all that apply.","Have you trained others in leadership activities (e.g., canvassing training, meeting facilitation training, political education)?","If yes, please describe the leadership activities you've participated in:","How long (in years) have you lived in Cook County?

If you have lived here less than one year, input .25, .5, etc. If you moved away and later moved back, please sum the total number of years and input that number below.","On a scale of 1 (Not at all similar) to 5 (Extremely similar), how similar do you feel to the average Chicago DSA member?","On a scale of 1 (Not at all welcome) to 5 (Extremely welcome), how welcomed do you feel at Chicago DSA events?","What do you get out of, or hope to get out of, your involvement in Chicago DSA? Select all that apply.","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Childcare/domestic responsibilities]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Limited free time]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Schedule conflicts with Chicago DSA event times]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Feeling overwhelmed by the work/organization]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Feeling overwhelmed by the state of the country]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [General mental health (e.g., depression, anxiety, etc.)]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Social anxiety (e.g., fear of not fitting in with Chicago DSA members, anxiety about working with others)]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Safety concerns (personal or political)]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Not interested in Chicago DSA]","If you indicated above that you feel overwhelmed by the work/organization, which of the following best describes why you feel overwhelmed regarding Chicago DSA activities/organization? 

Select all that apply.","Are there any other factors that impact your ability to participate in Chicago DSA activities? If so, please describe.",Is there anything else you think we should know about your experience with Chicago DSA that we haven't covered in this survey?,Which of the following best describes your racial identity? Select all that apply.,"What is your gender identity? 

Select all that apply.",What is your sexual orientation?,Which range best describes your total household income before taxes?,"To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Chicago DSA's limited racial and ethnic diversity]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Row 11]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Physical accessibility of activities]","Do you identify as a person with a disability?

Select all that apply."
1/8/2026 18:30,"Yes, I am a current dues-paying member of Chicago DSA.",6 months to 1 year,North Side Red Line,Yes,15,9/10/2025,Branch event,"Branch event, Committee meeting, Outreach/canvassing, Social event, Political education event",Less than 1 week,"Yes, with a pre-existing dues-paying member, Yes, with a chapter/committee leader, Yes, with another new attendee/non-member",Yes,"Yes, I was invited to another specific event.",I have not engaged in any leadership activities within Chicago DSA.,No,,2.5,4,4,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago, Networking/professional development, Training and experience as an organizer/activist",1 (Not at all a limit),2,4,1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),,Often meetings that happen before 6pm overlap with my work.,,"White (e.g., European American, Anglo-Saxon, etc.)",Man,Straight/Heterosexual,"$25,000 to $49,999",,,,
1/8/2026 18:31,"Yes, I am a current dues-paying member of Chicago DSA.",Less than 6 months,South Side,Yes,2,12/23/2025,Protest/rally,Protest/rally,1-4 weeks,"Yes, with a chapter/committee leader",No,"Yes, I was invited to another specific event.",I have not engaged in any leadership activities within Chicago DSA.,No,,10,3,3,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago, Networking/professional development, Political education and deepening my understanding of socialism and political theory, Training and experience as an organizer/activist",1 (Not at all a limit),3,3,1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),,,,"Hispanic (Often defined by Spanish language origin/culture), Latino, Latina, or Latine (Often defined by origin/culture in Latin American countries, including Brazil), Native American or Alaska Native",Man,Gay,"$75,000 to $99,999",,,,
1/8/2026 18:33,"Yes, I’ve been a dues-paying member of Chicago DSA in the past, but I am not a dues-paying member currently.",6 months to 1 year,South Side,Yes,1,1/1/2021,Committee meeting,Committee meeting,1-4 weeks,"No, I didn't interact with anyone.",Yes,No.,I have not engaged in any leadership activities within Chicago DSA.,No,,30,3,2,"Making a political difference in Chicago, Training and experience as an organizer/activist",1 (Not at all a limit),2,2,1 (Not at all a limit),2,2,3,1 (Not at all a limit),2,"The organizational processes and structure are difficult to navigate., Difficulties in basic communication among social interactions ",The lack of results after years of productivity,"Reflect inward on your true realistic impact potential, scale down social justice micro-aggressions, be more welcoming to those who haven’t historically been motivated or aware of political action (gatekeeping), update language usage and improve rhetoric when seeking funds","White (e.g., European American, Anglo-Saxon, etc.)",Man,Straight/Heterosexual,"$75,000 to $99,999",,,,
1/8/2026 18:34,"Yes, I am a current dues-paying member of Chicago DSA.",More than 5 years,North Side Blue Line,Yes,40,2/1/2017,Social event,"Branch event, Committee meeting, Executive or steering committee meeting, Outreach/canvassing, Phone/text banking, Protest/rally, Strike support, Social event, Political education event",1-4 weeks,"Yes, with a chapter/committee leader",No,"Yes, I was given a task/action.","Organized or facilitated meetings, events, or actions, Steering committee activities (Chair, Co-Chair, Secretary, Treasurer, etc.), Organized new member engagement (E.g., onboarding, follow-up calls)",Yes,"Chapter Co-Chair, Branch SC member/EC member, Working Group Chair",14,4,5,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago, Political education and deepening my understanding of socialism and political theory, Training and experience as an organizer/activist",1 (Not at all a limit),2,2,2,1 (Not at all a limit),2,1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),,,,"White (e.g., European American, Anglo-Saxon, etc.)",Non-binary,Pansexual,"$50,000 to $74,999",,,,
1/8/2026 18:36,"Yes, I am a current dues-paying member of Chicago DSA.",More than a year,North Side Blue Line,Yes,30,2/7/2024,Branch event,"Branch event, Committee meeting, Outreach/canvassing, Phone/text banking, Protest/rally, Strike support, Social event",Less than 1 week,"No, I didn't interact with anyone.",Yes,"Yes, I was given a task/action.","Organized or facilitated meetings, events, or actions, Organized new member engagement (E.g., onboarding, follow-up calls)",No,,2,4,5,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago, Training and experience as an organizer/activist",1 (Not at all a limit),5 (A significant limit),3,1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),,Nope! You guys are doing a great job. Keep on keepin' on!,"If you know the meme where it says ""You don't like Subway? My brother in Christ, you make the sandwich."" That's a bit like DSA. I definitely hear it when people feel overwhelmed with events and whatnot, but you can pick and choose what you go to. I ebb and flow with doing a lot of DSA stuff for a few weeks and then very little, and that just repeats. And it's okay because we have a small army of volunteers ready to take the baton when work picks up/life gets in the way.","White (e.g., European American, Anglo-Saxon, etc.)",Man,Straight/Heterosexual,"Less than $25,000",,,,
1/8/2026 18:36,"No, I have never been a dues-paying member of any chapter of DSA.",I have never been dues-paying member of Chicago DSA.,,No,,,,,,,,,,,,23.5,4,4,"A sense of purpose/fighting for what's right, Building community/friendships, Staying up to date with hometown news that fits my political bias?",1 (Not at all a limit),4,5 (A significant limit),3,3,3,3,3,1 (Not at all a limit),"I don't feel like I have much I can personally contribute to DSA., I feel ill-equipped or lack the necessary skills/knowledge., I have too many competing priorities and insufficient time to dedicate to Chicago DSA.",I currently live in LA ,,"Hispanic (Often defined by Spanish language origin/culture), Latino, Latina, or Latine (Often defined by origin/culture in Latin American countries, including Brazil), White (e.g., European American, Anglo-Saxon, etc.)","Agender, Genderfluid, Genderqueer, Non-binary, Transgender Man/Transmasculine",Asexual,"Less than $25,000",,,,
1/8/2026 18:37,"Yes, I am a current dues-paying member of Chicago DSA.",Less than 6 months,,No,3,9/12/2025,Committee meeting,Committee meeting,1-4 weeks,"No, I didn't interact with anyone.",Yes,No.,I have not engaged in any leadership activities within Chicago DSA.,No,,12,4,5,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago, Networking/professional development, Political education and deepening my understanding of socialism and political theory, Training and experience as an organizer/activist",1 (Not at all a limit),2,3,1 (Not at all a limit),3,3,3,2,1 (Not at all a limit),I feel ill-equipped or lack the necessary skills/knowledge.,My social anxiety and work hours. I work in Healthcare ,,"White (e.g., European American, Anglo-Saxon, etc.)",Woman,Straight/Heterosexual,"$50,000 to $74,999",,,,
1/8/2026 18:37,"Yes, I am a current dues-paying member of Chicago DSA.",More than 5 years,West Cook,Yes,6,10/10/2018,Branch event,"Branch event, Committee meeting, Executive or steering committee meeting, Protest/rally, Strike support, Political education event",1-3 months,"Yes, with a pre-existing dues-paying member, Yes, with a chapter/committee leader",No,No.,"Steering committee activities (Chair, Co-Chair, Secretary, Treasurer, etc.)",No,,51,3,4,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago, Political education and deepening my understanding of socialism and political theory, Training and experience as an organizer/activist",1 (Not at all a limit),1 (Not at all a limit),2,1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),,The general chapter meetings are too long,"I wish we had more political discussions on the conjuncture of political forces, our ability to participate and how we can work with others in coalitions ","White (e.g., European American, Anglo-Saxon, etc.)",Man,Straight/Heterosexual,"$75,000 to $99,999",,,,
1/8/2026 18:37,"Yes, I am a current dues-paying member of Chicago DSA.",More than 5 years,South Side,Yes,100,6/1/2018,Branch event,"Branch event, Committee meeting, Executive or steering committee meeting, Outreach/canvassing, Phone/text banking, Protest/rally, Strike support, Social event, Political education event",1-4 weeks,"Yes, with a pre-existing dues-paying member, Yes, with a chapter/committee leader",No,"Yes, I was given a task/action., Yes, I was invited to another specific event.","Organized or facilitated meetings, events, or actions, Steering committee activities (Chair, Co-Chair, Secretary, Treasurer, etc.), Organized new member engagement (E.g., onboarding, follow-up calls)",Yes,"Officer, leading campaigns, branches, turnout, setting political direction etc",9,4,5,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago, Political education and deepening my understanding of socialism and political theory, Training and experience as an organizer/activist",2,3,3,1 (Not at all a limit),2,1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),,"Feeling stress from conflict or potential conflict, feeling like meetings don't go anywhere/talk in circles and don't actually do anything ",Anticipated reduced ability to participate with having a kid soon. Something about what your anticipated future involvement and barriers you anticipate.,"White (e.g., European American, Anglo-Saxon, etc.)",Woman,Bisexual,"$75,000 to $99,999",,,,
1/8/2026 18:38,"Yes, I am a current dues-paying member of Chicago DSA.",Less than 6 months,North Side Red Line,No,,,,,,,,,,,,38,2,,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago, Political education and deepening my understanding of socialism and political theory, Training and experience as an organizer/activist",1 (Not at all a limit),2,2,3,3,3,3,1 (Not at all a limit),1 (Not at all a limit),"I don't feel like I have much I can personally contribute to DSA., I have too many competing priorities and insufficient time to dedicate to Chicago DSA.",Lack of understanding/expectations of how my attendance will contribute to DSA,,"White (e.g., European American, Anglo-Saxon, etc.)",Man,Straight/Heterosexual,"$75,000 to $99,999",,,,
